Alloy name,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Hf,Li,Mg,Mn,Mo,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr
Cr1 Ta1 V1 W1,,,,,,,0.25,,,,,,,,,,,,,,,,,0.25,,0.25,0.25,,,
Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,,,,,,,,,,,0.08,,,,,0.307,,,,,,,,0.307,0.178,,,,,0.128
Hf0.5 Mo0.5 Nb1 Si0.1 Ti1 Zr1,,,,,,,,,,,0.122,,,,0.122,0.244,,,,,,0.024,,,0.244,,,,,0.244
Hf0.5 Mo0.5 Nb1 Si0.3 Ti1 Zr1,,,,,,,,,,,0.116,,,,0.116,0.233,,,,,,0.07,,,0.233,,,,,0.233
Hf0.5 Mo0.5 Nb1 Si0.5 Ti1 Zr1,,,,,,,,,,,0.111,,,,0.111,0.222,,,,,,0.111,,,0.222,,,,,0.222
Hf0.5 Mo0.5 Nb1 Si0.7 Ti1 Zr1,,,,,,,,,,,0.106,,,,0.106,0.213,,,,,,0.149,,,0.213,,,,,0.213
Hf0.5 Mo0.5 Nb1 Si0.9 Ti1 Zr1,,,,,,,,,,,0.102,,,,0.102,0.204,,,,,,0.184,,,0.204,,,,,0.204
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,,,,,,,,,,,0.15,,,,,0.2,,,,,,,,0.1,0.3,,,,,0.25
Hf1 Mo0.5 Nb1 Si0.3 Ti1 V0.5,,,,,,,,,,,0.233,,,,0.116,0.233,,,,,,0.07,,,0.233,0.116,,,,
Hf1 Mo0.5 Nb1 Si0.5 Ti1 V0.5,,,,,,,,,,,0.222,,,,0.111,0.222,,,,,,0.111,,,0.222,0.111,,,,
Hf1 Mo0.5 Nb1 Si0.7 Ti1 V0.5,,,,,,,,,,,0.213,,,,0.106,0.213,,,,,,0.149,,,0.213,0.106,,,,
Hf1 Mo0.5 Nb1 Ti1 V0.5,,,,,,,,,,,0.25,,,,0.125,0.25,,,,,,,,,0.25,0.125,,,,
Hf0.787 Nb0.142 Ta0.142 Ti1 Zr0.787,,,,,,,,,,,0.275,,,,,0.05,,,,,,,,0.05,0.35,,,,,0.275
Al0.25 Nb1 Ta1 Ti1 Zr1,,0.059,,,,,,,,,,,,,,0.235,,,,,,,,0.235,0.235,,,,,0.235
Al0.5 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,,0.111,,,,,,,,,,,,,0.111,0.222,,,,,,,,0.111,0.222,,,,,0.222
Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr0.5,,0.222,,,,,,,,,,,,,0.111,0.222,,,,,,,,0.111,0.222,,,,,0.111
Al1 Nb1 Ta0.5 Ti1 Zr0.5,,0.25,,,,,,,,,,,,,,0.25,,,,,,,,0.125,0.25,,,,,0.125
Hf1 Nb1 Si0.5 Ti1 V1 Zr1,,,,,,,,,,,0.182,,,,,0.182,,,,,,0.091,,,0.182,0.182,,,,0.182
Al0.2 Mo1 Ta1 Ti1 V1,,0.048,,,,,,,,,,,,,0.238,,,,,,,,,0.238,0.238,0.238,,,,
Al0.6 Mo1 Ta1 Ti1 V1,,0.13,,,,,,,,,,,,,0.217,,,,,,,,,0.217,0.217,0.217,,,,
Al1 Mo1 Ta1 Ti1 V1,,0.2,,,,,,,,,,,,,0.2,,,,,,,,,0.2,0.2,0.2,,,,
Mo1 Ta1 Ti1 V1,,,,,,,,,,,,,,,0.25,,,,,,,,,0.25,0.25,0.25,,,,
Hf1 Nb1 Ta1 Zr1,,,,,,,,,,,0.25,,,,,0.25,,,,,,,,0.25,,,,,,0.25
Hf1 Ta0.4 Ti1 Zr1,,,,,,,,,,,0.294,,,,,,,,,,,,,0.118,0.294,,,,,0.294
Hf1 Ta0.5 Ti1 Zr1,,,,,,,,,,,0.286,,,,,,,,,,,,,0.143,0.286,,,,,0.286
Hf1 Ta0.6 Ti1 Zr1,,,,,,,,,,,0.278,,,,,,,,,,,,,0.167,0.278,,,,,0.278
Hf1 Ta1 Ti1 Zr1,,,,,,,,,,,0.25,,,,,,,,,,,,,0.25,0.25,,,,,0.25
Mo1 Nb1 Ta1 Ti0.25 W1,,,,,,,,,,,,,,,0.235,0.235,,,,,,,,0.235,0.059,,0.235,,,
Mo1 Nb1 Ta1 Ti0.5 W1,,,,,,,,,,,,,,,0.222,0.222,,,,,,,,0.222,0.111,,0.222,,,
Mo1 Nb1 Ta1 Ti0.75 W1,,,,,,,,,,,,,,,0.211,0.211,,,,,,,,0.211,0.158,,0.211,,,
Mo1 Nb1 Ta1 Ti1 W1,,,,,,,,,,,,,,,0.2,0.2,,,,,,,,0.2,0.2,,0.2,,,
Mo1 Nb1 Ta1 Ti1 V1,,,,,,,,,,,,,,,0.2,0.2,,,,,,,,0.2,0.2,0.2,,,,
Mo1 Nb1 Ta1 Ti1 V1 W1,,,,,,,,,,,,,,,0.167,0.167,,,,,,,,0.167,0.167,0.167,0.167,,,
Mo1 Nb1 Ta1 Ti1 Zr1,,,,,,,,,,,,,,,0.2,0.2,,,,,,,,0.2,0.2,,,,,0.2
Nb1 Ta1 Ti1 V1 W1,,,,,,,,,,,,,,,,0.2,,,,,,,,0.2,0.2,0.2,0.2,,,
Nb1 Ta1 V1 W1,,,,,,,,,,,,,,,,0.25,,,,,,,,0.25,,0.25,0.25,,,
Al0.25 Cr0.5 Nb0.5 Ti1 V0.25,,0.1,,,,,0.2,,,,,,,,,0.2,,,,,,,,,0.4,0.1,,,,
Al1 Cr0.5 Nb1 Ti1 V1,,0.222,,,,,0.111,,,,,,,,,0.222,,,,,,,,,0.222,0.222,,,,
Al0.667 Cr1 Nb0.667 Ti0.667 V0.667,,0.182,,,,,0.273,,,,,,,,,0.182,,,,,,,,,0.182,0.182,,,,
Al1 Cr1 Nb1 Ti1 V1,,0.2,,,,,0.2,,,,,,,,,0.2,,,,,,,,,0.2,0.2,,,,
Al0.3 Co1 Cr1 Fe1 Ni1,,0.07,,,,0.233,0.233,,0.233,,,,,,,,,0.233,,,,,,,,,,,,
Cr0.5 Fe1 Mn0.625 Ni0.375,,,,,,,0.2,,0.4,,,,,0.25,,,,0.15,,,,,,,,,,,,
Al0.05 Cr0.5 Fe1 Mn0.625 Ni0.375,,0.02,,,,,0.196,,0.392,,,,,0.245,,,,0.147,,,,,,,,,,,,
Al0.15 Cr0.5 Fe1 Mn0.625 Ni0.375,,0.057,,,,,0.189,,0.377,,,,,0.236,,,,0.142,,,,,,,,,,,,
Al0.25 Cr0.5 Fe1 Mn0.625 Ni0.375,,0.091,,,,,0.182,,0.364,,,,,0.227,,,,0.136,,,,,,,,,,,,
Al0.35 Cr0.5 Fe1 Mn0.625 Ni0.375,,0.123,,,,,0.175,,0.351,,,,,0.219,,,,0.132,,,,,,,,,,,,
Co0.2 Cr0.2 Fe1 Mn0.6,,,,,,0.1,0.1,,0.5,,,,,0.3,,,,,,,,,,,,,,,,
Al0.304 Co1 Cr1 Fe1 Ni1,,0.071,,,,0.232,0.232,,0.232,,,,,,,,,0.232,,,,,,,,,,,,
Al0.515 Cr0.515 Fe1 Ni1,,0.17,,,,,0.17,,0.33,,,,,,,,,0.33,,,,,,,,,,,,
Al0.511 Co0.511 Cr0.511 Fe0.511 Ni1,,0.168,,,,0.168,0.168,,0.168,,,,,,,,,0.329,,,,,,,,,,,,
Al0.465 Co0.465 Cr0.465 Fe0.465 Ni1,,0.163,,,,0.163,0.163,,0.163,,,,,,,,,0.35,,,,,,,,,,,,
Al0.451 Co0.451 Cr0.451 Fe0.451 Ni1,,0.161,,,,0.161,0.161,,0.161,,,,,,,,,0.357,,,,,,,,,,,,
Al0.343 Co0.514 Cr0.514 Fe1 Ni0.514,,0.119,,,,0.178,0.178,,0.347,,,,,,,,,0.178,,,,,,,,,,,,
Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,,,,,,0.35,0.15,,0.2,,,,,,0.1,,,0.2,,,,,,,,,,,,
Co1 Cr1 Fe1 Mo0.083 Ni1,,,,,,0.245,0.245,,0.245,,,,,,0.02,,,0.245,,,,,,,,,,,,
Co1 Cr1 Fe1 Mo0.208 Ni1,,,,,,0.238,0.238,,0.238,,,,,,0.049,,,0.238,,,,,,,,,,,,
Co1 Cr1 Fe1 Mo0.304 Ni1,,,,,,0.232,0.232,,0.232,,,,,,0.071,,,0.232,,,,,,,,,,,,
C0.02 Co1 Cr1 Fe1 Mn1 Ni1,,,,0.004,,0.199,0.199,,0.199,,,,,0.199,,,,0.199,,,,,,,,,,,,
Al0.167 Co1 Cr1 Fe1 Ni1 Ti0.083,,0.039,,,,0.235,0.235,,0.235,,,,,,,,,0.235,,,,,,,0.02,,,,,
Al0.242 Co0.515 Cr0.515 Cu0.242 Fe0.515 Ni1,,0.08,,,,0.17,0.17,0.08,0.17,,,,,,,,,0.33,,,,,,,,,,,,
Al0.229 Co0.486 Cr0.4 Cu0.229 Fe0.486 Mo0.003 Ni1 Ti0.029 W0.003,,0.08,,,,0.17,0.14,0.08,0.17,,,,,,0.001,,,0.349,,,,,,,0.01,,0.001,,,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,,0.1,,,,0.25,0.08,,0.15,,,,,,,,,0.36,,,,,,,0.06,,,,,
Al0.885 Cr1 Fe1 Ni1,,0.228,,,,,0.257,,0.257,,,,,,,,,0.257,,,,,,,,,,,,
Al1 Cr0.889 Fe0.889 Ni0.889,,0.273,,,,,0.242,,0.242,,,,,,,,,0.242,,,,,,,,,,,,
Al1 Cr0.828 Fe0.828 Ni0.828,,0.287,,,,,0.238,,0.238,,,,,,,,,0.238,,,,,,,,,,,,
Al1 Cr0.767 Fe0.767 Ni0.767,,0.303,,,,,0.232,,0.232,,,,,,,,,0.232,,,,,,,,,,,,
Al0.5 Cr0.5 Fe1 Ni1,,0.167,,,,,0.167,,0.333,,,,,,,,,0.333,,,,,,,,,,,,
Al0.545 Cr0.545 Fe0.515 Ni1 Ti0.273,,0.189,,,,,0.189,,0.179,,,,,,,,,0.347,,,,,,,0.095,,,,,
Cr1 Fe1 Ni1 V0.5 W1,,,,,,,0.222,,0.222,,,,,,,,,0.222,,,,,,,,0.111,0.222,,,
Al0.515 Cr0.515 Cu0.515 Fe0.515 Ni1,,0.168,,,,,0.168,0.168,0.168,,,,,,,,,0.327,,,,,,,,,,,,
Co1 Cr1 Fe1 Mn1 Ni1 V0.263,,,,,,0.19,0.19,,0.19,,,,,0.19,,,,0.19,,,,,,,,0.05,,,,
Co1 Cr1 Fe1 Mn1 Ni1 V0.765,,,,,,0.173,0.173,,0.173,,,,,0.173,,,,0.173,,,,,,,,0.133,,,,
Al0.108 Co0.514 Cr0.514 Cu0.108 Fe0.514 Ni1,,0.039,,,,0.186,0.186,0.039,0.186,,,,,,,,,0.363,,,,,,,,,,,,
Co1 Cr1 Fe1 Ni1 Ti0.2,,,,,,0.238,0.238,,0.238,,,,,,,,,0.238,,,,,,,0.048,,,,,
Al0.1 Co1 Cr1 Fe1 Ni1,,0.024,,,,0.244,0.244,,0.244,,,,,,,,,0.244,,,,,,,,,,,,
Al0.5 Cr0.5 Fe0.5 Ni1,,0.2,,,,,0.2,,0.2,,,,,,,,,0.4,,,,,,,,,,,,
Al0.429 Cr0.476 Fe0.476 Ni1,,0.18,,,,,0.2,,0.2,,,,,,,,,0.42,,,,,,,,,,,,
Al0.364 Cr0.455 Fe0.455 Ni1,,0.16,,,,,0.2,,0.2,,,,,,,,,0.44,,,,,,,,,,,,
Al0.304 Cr0.435 Fe0.435 Ni1,,0.14,,,,,0.2,,0.2,,,,,,,,,0.46,,,,,,,,,,,,
Al0.25 Cr0.417 Fe0.417 Ni1,,0.12,,,,,0.2,,0.2,,,,,,,,,0.48,,,,,,,,,,,,
Al0.476 Co0.476 Cr0.476 Fe0.476 Ni1,,0.164,,,,0.164,0.164,,0.164,,,,,,,,,0.344,,,,,,,,,,,,
Al0.3 Co1 Cr1 Fe1 Mn1 Ni1,,0.057,,,,0.189,0.189,,0.189,,,,,0.189,,,,0.189,,,,,,,,,,,,
Al0.5 Co1 Cr1 Fe1 Mn1 Ni1,,0.091,,,,0.182,0.182,,0.182,,,,,0.182,,,,0.182,,,,,,,,,,,,
Al0.7 Co1 Cr1 Fe1 Mn1 Ni1,,0.123,,,,0.175,0.175,,0.175,,,,,0.175,,,,0.175,,,,,,,,,,,,
Al1 Co1 Cr1 Fe1 Mn1 Ni1,,0.167,,,,0.167,0.167,,0.167,,,,,0.167,,,,0.167,,,,,,,,,,,,
Al0.6 Co1 Cr1 Fe1 Ni1,,0.13,,,,0.217,0.217,,0.217,,,,,,,,,0.217,,,,,,,,,,,,
Al0.9 Co1 Cr1 Fe1 Ni1,,0.184,,,,0.204,0.204,,0.204,,,,,,,,,0.204,,,,,,,,,,,,
Al0.9 Co1 Cr1 Fe1 Ni1 Ti0.5,,0.167,,,,0.185,0.185,,0.185,,,,,,,,,0.185,,,,,,,0.093,,,,,
Co1 Cr1 Fe1 Mn1 Mo0.042 Ni1,,,,,,0.198,0.198,,0.198,,,,,0.198,0.008,,,0.198,,,,,,,,,,,,
Co1 Cr1 Fe1 Mn1 Mo0.087 Ni1,,,,,,0.197,0.197,,0.197,,,,,0.197,0.017,,,0.197,,,,,,,,,,,,
Co1 Cr1 Fe1 Mn1 Mo0.136 Ni1,,,,,,0.195,0.195,,0.195,,,,,0.195,0.026,,,0.195,,,,,,,,,,,,
Co1 Cr1 Fe1 Mn1 Mo0.19 Ni1,,,,,,0.193,0.193,,0.193,,,,,0.193,0.037,,,0.193,,,,,,,,,,,,
Al1 Co1 Cr1 Ni1,,0.25,,,,0.25,0.25,,,,,,,,,,,0.25,,,,,,,,,,,,
C0.5 Co1 Cr1 Fe1 Mn1 Ni1,,,,0.091,,0.182,0.182,,0.182,,,,,0.182,,,,0.182,,,,,,,,,,,,
C1 Co1 Cr1 Fe1 Mn1 Ni1,,,,0.167,,0.167,0.167,,0.167,,,,,0.167,,,,0.167,,,,,,,,,,,,
Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,,,,,,0.34,0.2,,0.06,,,,,,0.06,,,0.34,,,,,,,,,,,,
Cr1 Mo1 Nb1 Ta1 V1 W1,,,,,,,0.167,,,,,,,,0.167,0.167,,,,,,,,0.167,,0.167,0.167,,,
Al1 Co0.667 Cr0.667 Cu0.667 Fe0.667 Ni0.667,,0.231,,,,0.154,0.154,0.154,0.154,,,,,,,,,0.154,,,,,,,,,,,,
Co1 Ni1 V1,,,,,,0.333,,,,,,,,,,,,0.333,,,,,,,,0.333,,,,
Al0.544 C0.001 Co0.69 Fe1 Ni0.69,,0.186,,0.0,,0.236,,,0.342,,,,,,,,,0.236,,,,,,,,,,,,
Co0.5 Cr0.5 Fe1 Ni1,,,,,,0.167,0.167,,0.333,,,,,,,,,0.333,,,,,,,,,,,,
Co0.875 Cr0.625 Fe1 Ni1,,,,,,0.25,0.179,,0.286,,,,,,,,,0.286,,,,,,,,,,,,
Co1 Cr0.556 Fe0.667 Ni0.667,,,,,,0.346,0.192,,0.231,,,,,,,,,0.231,,,,,,,,,,,,
Co1 Cr0.455 Fe0.364 Ni0.364,,,,,,0.458,0.208,,0.167,,,,,,,,,0.167,,,,,,,,,,,,
Co1 Cr0.385 Fe0.154 Ni0.154,,,,,,0.591,0.227,,0.091,,,,,,,,,0.091,,,,,,,,,,,,
Al1 Co0.5 Cr1 Fe0.147 Ni0.294,,0.34,,,,0.17,0.34,,0.05,,,,,,,,,0.1,,,,,,,,,,,,
Al1 Co0.298 Cr0.319 Cu0.106 Fe0.277 Ni0.128,,0.47,,,,0.14,0.15,0.05,0.13,,,,,,,,,0.06,,,,,,,,,,,,
Al1 Co0.289 Cr0.158 Cu0.237 Fe0.816 Ni0.132,,0.38,,,,0.11,0.06,0.09,0.31,,,,,,,,,0.05,,,,,,,,,,,,
Al1 Co0.278 Cr0.861 Cu0.167 Fe0.25 Ni0.222,,0.36,,,,0.1,0.31,0.06,0.09,,,,,,,,,0.08,,,,,,,,,,,,
Al1 Co0.395 Cr0.349 Fe0.326 Ni0.256,,0.43,,,,0.17,0.15,,0.14,,,,,,,,,0.11,,,,,,,,,,,,
Al1 Co0.255 Cr0.255 Cu0.106 Fe0.277 Ni0.234,,0.47,,,,0.12,0.12,0.05,0.13,,,,,,,,,0.11,,,,,,,,,,,,
Al1 Co0.442 Cr0.442 Fe0.256 Ni0.186,,0.43,,,,0.19,0.19,,0.11,,,,,,,,,0.08,,,,,,,,,,,,
Al1 Co0.256 Cr0.795 Cu0.128 Fe0.205 Ni0.179,,0.39,,,,0.1,0.31,0.05,0.08,,,,,,,,,0.07,,,,,,,,,,,,
Al1 Co0.277 Cr0.277 Cu0.106 Fe0.255 Ni0.213,,0.47,,,,0.13,0.13,0.05,0.12,,,,,,,,,0.1,,,,,,,,,,,,
Al1 Co0.465 Cr0.512 Fe0.186 Ni0.163,,0.43,,,,0.2,0.22,,0.08,,,,,,,,,0.07,,,,,,,,,,,,
Al1 Co0.298 Cr0.404 Cu0.106 Fe0.213 Ni0.106,,0.47,,,,0.14,0.19,0.05,0.1,,,,,,,,,0.05,,,,,,,,,,,,
Al1 Co0.465 Cr0.442 Fe0.209 Ni0.209,,0.43,,,,0.2,0.19,,0.09,,,,,,,,,0.09,,,,,,,,,,,,
Al1 Co0.304 Cr0.5 Cu0.109 Fe0.152 Ni0.109,,0.46,,,,0.14,0.23,0.05,0.07,,,,,,,,,0.05,,,,,,,,,,,,
Al1 Co0.318 Cr0.5 Cu0.114 Fe0.205 Ni0.136,,0.44,,,,0.14,0.22,0.05,0.09,,,,,,,,,0.06,,,,,,,,,,,,
Al1 Co0.442 Cr0.558 Fe0.186 Ni0.14,,0.43,,,,0.19,0.24,,0.08,,,,,,,,,0.06,,,,,,,,,,,,
Al1 Co0.419 Cr0.558 Fe0.233 Ni0.116,,0.43,,,,0.18,0.24,,0.1,,,,,,,,,0.05,,,,,,,,,,,,
Al1 Co0.298 Cr0.426 Cu0.106 Fe0.191 Ni0.106,,0.47,,,,0.14,0.2,0.05,0.09,,,,,,,,,0.05,,,,,,,,,,,,
Al1 Co0.558 Cr0.512 Fe0.116 Ni0.14,,0.43,,,,0.24,0.22,,0.05,,,,,,,,,0.06,,,,,,,,,,,,
Al1 Co0.581 Cr0.512 Fe0.116 Ni0.116,,0.43,,,,0.25,0.22,,0.05,,,,,,,,,0.05,,,,,,,,,,,,
Al1 Co0.558 Cr0.535 Fe0.116 Ni0.116,,0.43,,,,0.24,0.23,,0.05,,,,,,,,,0.05,,,,,,,,,,,,
Al1 Co0.535 Cr0.488 Fe0.186 Ni0.116,,0.43,,,,0.23,0.21,,0.08,,,,,,,,,0.05,,,,,,,,,,,,
Al1 Co0.255 Cr0.426 Cu0.106 Fe0.234 Ni0.106,,0.47,,,,0.12,0.2,0.05,0.11,,,,,,,,,0.05,,,,,,,,,,,,
Al1 Co0.349 Cr0.395 Cu0.116 Fe0.326 Ni0.14,,0.43,,,,0.15,0.17,0.05,0.14,,,,,,,,,0.06,,,,,,,,,,,,
Al1 Co0.238 Cr0.714 Cu0.119 Fe0.167 Ni0.143,,0.42,,,,0.1,0.3,0.05,0.07,,,,,,,,,0.06,,,,,,,,,,,,
Al1 Co0.234 Cr0.468 Cu0.106 Fe0.213 Ni0.106,,0.47,,,,0.11,0.22,0.05,0.1,,,,,,,,,0.05,,,,,,,,,,,,
Al1 Co0.277 Cr0.426 Cu0.106 Fe0.213 Ni0.106,,0.47,,,,0.13,0.2,0.05,0.1,,,,,,,,,0.05,,,,,,,,,,,,
Al0.853 Co0.647 Cr1 Fe0.147 Ni0.294,,0.29,,,,0.22,0.34,,0.05,,,,,,,,,0.1,,,,,,,,,,,,
Al1 Co0.149 Cr0.34 Cu0.191 Fe0.34 Ni0.106,,0.47,,,,0.07,0.16,0.09,0.16,,,,,,,,,0.05,,,,,,,,,,,,
Al1 Co0.326 Cr0.488 Cu0.116 Fe0.279 Ni0.116,,0.43,,,,0.14,0.21,0.05,0.12,,,,,,,,,0.05,,,,,,,,,,,,
Al1 Co0.383 Cr0.319 Cu0.106 Fe0.213 Ni0.106,,0.47,,,,0.18,0.15,0.05,0.1,,,,,,,,,0.05,,,,,,,,,,,,
Al1 Co0.426 Cr0.383 Cu0.106 Fe0.106 Ni0.106,,0.47,,,,0.2,0.18,0.05,0.05,,,,,,,,,0.05,,,,,,,,,,,,
Al1 Co0.419 Cr0.465 Fe0.279 Ni0.163,,0.43,,,,0.18,0.2,,0.12,,,,,,,,,0.07,,,,,,,,,,,,
Al1 Co0.362 Cr0.34 Cu0.106 Fe0.213 Ni0.106,,0.47,,,,0.17,0.16,0.05,0.1,,,,,,,,,0.05,,,,,,,,,,,,
Al1 Co0.457 Cr0.391 Cu0.109 Fe0.109 Ni0.109,,0.46,,,,0.21,0.18,0.05,0.05,,,,,,,,,0.05,,,,,,,,,,,,
Al1 Co0.512 Cr0.512 Fe0.186 Ni0.116,,0.43,,,,0.22,0.22,,0.08,,,,,,,,,0.05,,,,,,,,,,,,
Al1 Co0.512 Cr0.535 Fe0.163 Ni0.116,,0.43,,,,0.22,0.23,,0.07,,,,,,,,,0.05,,,,,,,,,,,,
Al1 Co0.465 Cr0.488 Fe0.209 Ni0.163,,0.43,,,,0.2,0.21,,0.09,,,,,,,,,0.07,,,,,,,,,,,,
Al1 Co0.512 Cr0.581 Fe0.116 Ni0.116,,0.43,,,,0.22,0.25,,0.05,,,,,,,,,0.05,,,,,,,,,,,,
Al1 Co0.404 Cr0.404 Cu0.106 Fe0.106 Ni0.106,,0.47,,,,0.19,0.19,0.05,0.05,,,,,,,,,0.05,,,,,,,,,,,,
Al1 Co0.674 Cr0.419 Fe0.116 Ni0.116,,0.43,,,,0.29,0.18,,0.05,,,,,,,,,0.05,,,,,,,,,,,,
Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,,,,,,0.206,0.199,,0.195,,,,,0.191,,,,0.209,,,,,,,,,,,,
Mo1 Nb1 Ti1,,,,,,,,,,,,,,,0.333,0.333,,,,,,,,,0.333,,,,,
Nb1 Ta0.3 Ti1 Zr1,,,,,,,,,,,,,,,,0.303,,,,,,,,0.091,0.303,,,,,0.303
Nb1 Ti1 Zr1,,,,,,,,,,,,,,,,0.333,,,,,,,,,0.333,,,,,0.333
Al0.24 Nb1 Ti1 V1 Zr1,,0.057,,,,,,,,,,,,,,0.236,,,,,,,,,0.236,0.236,,,,0.236
Cr1 Nb0.333 Ti0.333 Zr0.333,,,,,,,0.5,,,,,,,,,0.167,,,,,,,,,0.167,,,,,0.167
Nb1 Re0.3 Ti1 Zr1,,,,,,,,,,,,,,,,0.303,,,,0.091,,,,,0.303,,,,,0.303
Nb1 Ta1 Ti1 V1 Zr1,,,,,,,,,,,,,,,,0.2,,,,,,,,0.2,0.2,0.2,,,,0.2
Cr0.286 Mo0.476 Nb1 Ta0.024 Ti0.31 V0.286,,,,,,,0.12,,,,,,,,0.2,0.42,,,,,,,,0.01,0.13,0.12,,,,
Co1 Cr0.053 Ni1,,,,,,0.487,0.026,,,,,,,,,,,0.487,,,,,,,,,,,,
Co1 Cr0.25 Ni1,,,,,,0.444,0.111,,,,,,,,,,,0.444,,,,,,,,,,,,
