Alloy name,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Hf,Li,Mg,Mn,Mo,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr
Co0.25 Cr1 Ni1,,,,,,0.111,0.444,,,,,,,,,,,0.444,,,,,,,,,,,,
Al1 Co1 Ni1 Ti1,,0.25,,,,0.25,,,,,,,,,,,,0.25,,,,,,,0.25,,,,,
Al1 Fe1 Ni1 Ti1,,0.25,,,,,,,0.25,,,,,,,,,0.25,,,,,,,0.25,,,,,
Al1 Co1 Fe1 Ni1 Ti1,,0.2,,,,0.2,,,0.2,,,,,,,,,0.2,,,,,,,0.2,,,,,
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,,,,,,0.213,,,0.213,,,,,,0.043,,,0.426,,,,,,,,0.106,,,,
Co0.318 Cr0.227 Fe1 Mo0.091 Ni0.182,,,,,,0.175,0.125,,0.55,,,,,,0.05,,,0.1,,,,,,,,,,,,
Co0.327 Cr0.227 Fe1 Mo0.136 Ni0.127,,,,,,0.18,0.125,,0.55,,,,,,0.075,,,0.07,,,,,,,,,,,,
Mo1 Nb1 Re0.5 W1,,,,,,,,,,,,,,,0.286,0.286,,,,0.143,,,,,,,0.286,,,
C0.2 Mo1 Nb1 Re0.5 Ta0.2 W1,,,,0.051,,,,,,,,,,,0.256,0.256,,,,0.128,,,,0.051,,,0.256,,,
C0.4 Mo1 Nb1 Re0.5 Ta0.4 W1,,,,0.093,,,,,,,,,,,0.233,0.233,,,,0.116,,,,0.093,,,0.233,,,
C0.5 Mo1 Nb1 Re0.5 Ta0.5 W1,,,,0.111,,,,,,,,,,,0.222,0.222,,,,0.111,,,,0.111,,,0.222,,,
C0.6 Mo1 Nb1 Re0.5 Ta0.6 W1,,,,0.128,,,,,,,,,,,0.213,0.213,,,,0.106,,,,0.128,,,0.213,,,
Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,,,,,,0.1,0.15,,0.35,,,,,0.05,,,,0.25,,,,,,,,0.1,,,,
Al1 Co0.556 Cr0.556 Fe0.556 Ni0.556 Ti0.111,,0.3,,,,0.167,0.167,,0.167,,,,,,,,,0.167,,,,,,,0.033,,,,,
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti0.333,,0.25,,,,0.167,0.167,,0.167,,,,,,,,,0.167,,,,,,,0.083,,,,,
Al1 Co0.833 Cr0.833 Fe0.833 Ni0.833 Ti0.667,,0.2,,,,0.167,0.167,,0.167,,,,,,,,,0.167,,,,,,,0.133,,,,,
Al0.667 Co0.833 Cr0.833 Fe0.833 Ni0.833 Ti1,,0.133,,,,0.167,0.167,,0.167,,,,,,,,,0.167,,,,,,,0.2,,,,,
Al0.8 Co1 Cr1 Fe1 Ni1 Ti0.2,,0.16,,,,0.2,0.2,,0.2,,,,,,,,,0.2,,,,,,,0.04,,,,,
Al0.5 Co1 Cr1 Fe1 Ni1 Ti0.5,,0.1,,,,0.2,0.2,,0.2,,,,,,,,,0.2,,,,,,,0.1,,,,,
Al1 Co0.25 Cr1 Fe1 Ni1,,0.235,,,,0.059,0.235,,0.235,,,,,,,,,0.235,,,,,,,,,,,,
Al1 Co0.5 Cr1 Fe1 Ni1,,0.222,,,,0.111,0.222,,0.222,,,,,,,,,0.222,,,,,,,,,,,,
Al1 Co0.75 Cr1 Fe1 Ni1,,0.211,,,,0.158,0.211,,0.211,,,,,,,,,0.211,,,,,,,,,,,,
Co1 Cr1 Fe1 Mn1,,,,,,0.25,0.25,,0.25,,,,,0.25,,,,,,,,,,,,,,,,
Hf1 Nb1 Ta1 Ti1 W1 Zr1,,,,,,,,,,,0.167,,,,,0.167,,,,,,,,0.167,0.167,,0.167,,,0.167
Hf1 Mo1 Nb1 Ta1 Ti1 W1 Zr1,,,,,,,,,,,0.143,,,,0.143,0.143,,,,,,,,0.143,0.143,,0.143,,,0.143
Co1 Cr1 Fe1 Ni1 W0.2,,,,,,0.238,0.238,,0.238,,,,,,,,,0.238,,,,,,,,,0.048,,,
Co1 Cr1 Fe1 Ni1 W0.5,,,,,,0.222,0.222,,0.222,,,,,,,,,0.222,,,,,,,,,0.111,,,
Cr1 Fe1 Mo1 Nb1 V1,,,,,,,0.2,,0.2,,,,,,0.2,0.2,,,,,,,,,,0.2,,,,
Cr1 Fe1 Mo1 Nb1 Ti1,,,,,,,0.2,,0.2,,,,,,0.2,0.2,,,,,,,,,0.2,,,,,
Fe1 Mo1 Nb1 Ti1 V1,,,,,,,,,0.2,,,,,,0.2,0.2,,,,,,,,,0.2,0.2,,,,
Al0.15 Cr0.5 Cu0.25 Fe0.5 Ni1,,0.062,,,,,0.208,0.104,0.208,,,,,,,,,0.417,,,,,,,,,,,,
Co1 Cr1 Fe1 Ni1 Ti0.3,,,,,,0.233,0.233,,0.233,,,,,,,,,0.233,,,,,,,0.07,,,,,
Co0.333 Cr0.667 Fe0.667 Ni1 Ti0.2,,,,,,0.116,0.233,,0.233,,,,,,,,,0.349,,,,,,,0.07,,,,,
Cr0.5 Fe0.5 Ni1 Ti0.15,,,,,,,0.233,,0.233,,,,,,,,,0.465,,,,,,,0.07,,,,,
Nb1 Ta1 Ti1,,,,,,,,,,,,,,,,0.333,,,,,,,,0.333,0.333,,,,,
Al1 Nb1 Ta1 Ti1,,0.25,,,,,,,,,,,,,,0.25,,,,,,,,0.25,0.25,,,,,
Mo1 Nb1 Ta1 Ti1,,,,,,,,,,,,,,,0.25,0.25,,,,,,,,0.25,0.25,,,,,
Nb1 Ta1 Ti1 W1,,,,,,,,,,,,,,,,0.25,,,,,,,,0.25,0.25,,0.25,,,
Hf1 Nb1 Ta1 Ti1,,,,,,,,,,,0.25,,,,,0.25,,,,,,,,0.25,0.25,,,,,
Cr1 Mo1 Nb1 Ti1,,,,,,,0.25,,,,,,,,0.25,0.25,,,,,,,,,0.25,,,,,
Cr1 Mo1 Ta1 Ti1,,,,,,,0.25,,,,,,,,0.25,,,,,,,,,0.25,0.25,,,,,
Hf0.25 Ti1 V0.5 Zr0.5,,,,,,,,,,,0.111,,,,,,,,,,,,,,0.444,0.222,,,,0.222
Hf0.25 Nb0.125 Ti1 V0.5 Zr0.5,,,,,,,,,,,0.105,,,,,0.053,,,,,,,,,0.421,0.211,,,,0.211
Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,,,,,,,,,,,0.1,,,,,0.1,,,,,,,,,0.4,0.2,,,,0.2
Hf0.25 Nb0.375 Ti1 V0.5 Zr0.5,,,,,,,,,,,0.095,,,,,0.143,,,,,,,,,0.381,0.19,,,,0.19
Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,,,,,,,,,,,0.091,,,,,0.182,,,,,,,,,0.364,0.182,,,,0.182
Co0.476 Cr0.476 Fe0.476 Nb0.095 Ni1,,,,,,0.189,0.189,,0.189,,,,,,,0.038,,0.396,,,,,,,,,,,,
Co0.476 Cr0.476 Fe0.476 Nb0.19 Ni1,,,,,,0.182,0.182,,0.182,,,,,,,0.073,,0.382,,,,,,,,,,,,
C0.053 Co1 Cr1 Fe1 Mn1 Ni1,,,,0.01,,0.198,0.198,,0.198,,,,,0.198,,,,0.198,,,,,,,,,,,,
Cr1 Mo1 Nb1 Ti1 W1,,,,,,,0.2,,,,,,,,0.2,0.2,,,,,,,,,0.2,,0.2,,,
Cr1 Fe1 Mn1 Ni1,,,,,,,0.25,,0.25,,,,,0.25,,,,0.25,,,,,,,,,,,,
Co0.25 Cr0.25 Fe1 Mn1,,,,,,0.1,0.1,,0.4,,,,,0.4,,,,,,,,,,,,,,,,
C0.041 Co1 Cr1 Fe1 Mn1 Nb0.041 Ni1,,,,0.008,,0.197,0.197,,0.197,,,,,0.197,,0.008,,0.197,,,,,,,,,,,,
Al0.5 Nb1 Ta0.5 Ti1 Zr1,,0.125,,,,,,,,,,,,,,0.25,,,,,,,,0.125,0.25,,,,,0.25
Mo1 Nb1 Si0.25 Ta1 W1,,,,,,,,,,,,,,,0.235,0.235,,,,,,0.059,,0.235,,,0.235,,,
Mo1 Nb1 Si0.5 Ta1 W1,,,,,,,,,,,,,,,0.222,0.222,,,,,,0.111,,0.222,,,0.222,,,
Mo1 Nb1 Si0.75 Ta1 W1,,,,,,,,,,,,,,,0.211,0.211,,,,,,0.158,,0.211,,,0.211,,,
C0.1 Co1 Cr1 Fe1 Mn1 Ni1 Ti0.1,,,,0.019,,0.192,0.192,,0.192,,,,,0.192,,,,0.192,,,,,,,0.019,,,,,
Al0.5 Co1 Fe1 Ni1 Ti0.5,,0.125,,,,0.25,,,0.25,,,,,,,,,0.25,,,,,,,0.125,,,,,
Al0.5 Co1 Cr1 Fe1 Mn1 Ni1 Ta0.2,,0.088,,,,0.175,0.175,,0.175,,,,,0.175,,,,0.175,,,,,,0.035,,,,,,
Al0.5 Co1 Cr1 Fe1 Mn1 Ni1 Ta0.4,,0.085,,,,0.169,0.169,,0.169,,,,,0.169,,,,0.169,,,,,,0.068,,,,,,
Al0.55 Co1 Cr1 Fe1 Mn1 Ni1 Ta0.6,,0.089,,,,0.163,0.163,,0.163,,,,,0.163,,,,0.163,,,,,,0.098,,,,,,
Co1 Cr1 Fe1 Mn1 Ni1 Ta0.2,,,,,,0.192,0.192,,0.192,,,,,0.192,,,,0.192,,,,,,0.038,,,,,,
Co1 Cr1 Fe1 Mn1 Ni1 Ta0.4,,,,,,0.185,0.185,,0.185,,,,,0.185,,,,0.185,,,,,,0.074,,,,,,
Co1 Cr1 Fe1 Mn1 Ni1 Ta0.6,,,,,,0.179,0.179,,0.179,,,,,0.179,,,,0.179,,,,,,0.107,,,,,,
Al0.3 Co1 Cr1 Fe1 Mo0.1 Ni1,,0.068,,,,0.227,0.227,,0.227,,,,,,0.023,,,0.227,,,,,,,,,,,,
Al0.143 Cr0.343 Fe1 Mn0.8 Ni0.571,,0.05,,,,,0.12,,0.35,,,,,0.28,,,,0.2,,,,,,,,,,,,
Al0.286 Cr0.343 Fe1 Mn0.657 Ni0.571,,0.1,,,,,0.12,,0.35,,,,,0.23,,,,0.2,,,,,,,,,,,,
Co1 Cr1 Fe1 Mo0.15 Ni1,,,,,,0.241,0.241,,0.241,,,,,,0.036,,,0.241,,,,,,,,,,,,
Co0.139 Cr0.446 Cu0.99 Ni1 Si0.277,,,,,,0.049,0.156,0.347,,,,,,,,,,0.351,,,,0.097,,,,,,,,
Al1 Co1 Cr0.091 Nb0.727 W0.212,,0.33,,,,0.33,0.03,,,,,,,,,0.24,,,,,,,,,,,0.07,,,
Co1 Cr0.917 Ni1 Ta0.5 Ti0.75,,,,,,0.24,0.22,,,,,,,,,,,0.24,,,,,,0.12,0.18,,,,,
Al0.947 Co0.158 Mo1 Ni0.289 W0.237,,0.36,,,,0.06,,,,,,,,,0.38,,,0.11,,,,,,,,,0.09,,,
Co0.043 Nb0.638 Ni1 Ta0.255 Ti0.191,,,,,,0.02,,,,,,,,,,0.3,,0.47,,,,,,0.12,0.09,,,,,
Co0.273 Cr0.477 Nb0.477 Ni0.045 Ti1,,,,,,0.12,0.21,,,,,,,,,0.21,,0.02,,,,,,,0.44,,,,,
Co1 Cr0.487 Nb0.231 Ta0.026 Ti0.821,,,,,,0.39,0.19,,,,,,,,,0.09,,,,,,,,0.01,0.32,,,,,
Co0.564 Nb0.795 Ta0.103 Ti1 W0.103,,,,,,0.22,,,,,,,,,,0.31,,,,,,,,0.04,0.39,,0.04,,,
Al1 Co1 Cu1 Fe1 Ni0.5,,0.222,,,,0.222,,0.222,0.222,,,,,,,,,0.111,,,,,,,,,,,,
Al1 Co1 Cu1 Fe1 Ni0.8,,0.208,,,,0.208,,0.208,0.208,,,,,,,,,0.167,,,,,,,,,,,,
Al0.667 Co0.667 Cu0.667 Fe0.667 Ni1,,0.182,,,,0.182,,0.182,0.182,,,,,,,,,0.273,,,,,,,,,,,,
Al0.5 Co0.5 Cu0.5 Fe0.5 Ni1,,0.167,,,,0.167,,0.167,0.167,,,,,,,,,0.333,,,,,,,,,,,,
Al0.333 Co0.333 Cu0.333 Fe0.333 Ni1,,0.143,,,,0.143,,0.143,0.143,,,,,,,,,0.429,,,,,,,,,,,,
Al0.5 Cr1 Fe1 Mn1 Ni1,,0.111,,,,,0.222,,0.222,,,,,0.222,,,,0.222,,,,,,,,,,,,
Al0.6 Cr1 Fe1 Mn1 Ni1,,0.13,,,,,0.217,,0.217,,,,,0.217,,,,0.217,,,,,,,,,,,,
Al0.7 Cr1 Fe1 Mn1 Ni1,,0.149,,,,,0.213,,0.213,,,,,0.213,,,,0.213,,,,,,,,,,,,
Al0.8 Cr1 Fe1 Mn1 Ni1,,0.167,,,,,0.208,,0.208,,,,,0.208,,,,0.208,,,,,,,,,,,,
Co1 Cr0.2 Fe1 Ni1 Si0.2,,,,,,0.294,0.059,,0.294,,,,,,,,,0.294,,,,0.059,,,,,,,,
Al1 Cu0.077 Fe0.077 Mg0.077 Si0.231 Zn0.077,,0.65,,,,,,0.05,0.05,,,,0.05,,,,,,,,,0.15,,,,,,,0.05,
Al1 Cu0.077 Mg0.077 Ni0.077 Si0.231 Zn0.077,,0.65,,,,,,0.05,,,,,0.05,,,,,0.05,,,,0.15,,,,,,,0.05,
Al1 Cr0.077 Cu0.077 Mg0.077 Si0.231 Zn0.077,,0.65,,,,,0.05,0.05,,,,,0.05,,,,,,,,,0.15,,,,,,,0.05,
Al1 Cu0.077 Mg0.077 Mn0.077 Si0.231 Zn0.077,,0.65,,,,,,0.05,,,,,0.05,0.05,,,,,,,,0.15,,,,,,,0.05,
Al1 Cu0.077 Mg0.077 Si0.231 Zn0.077 Zr0.077,,0.65,,,,,,0.05,,,,,0.05,,,,,,,,,0.15,,,,,,,0.05,0.05
Co1 Cr1 Fe1 Mo0.2 Ni1,,,,,,0.238,0.238,,0.238,,,,,,0.048,,,0.238,,,,,,,,,,,,
Al0.569 Ca0.143 Li0.857 Mg1 Si0.286 Y0.003,,0.199,,,0.05,,,,,,,0.3,0.35,,,,,,,,,0.1,,,,,,0.001,,
Al0.429 Ca0.286 Li1 Mg1 Si0.143,,0.15,,,0.1,,,,,,,0.35,0.35,,,,,,,,,0.05,,,,,,,,
Al0.312 Ca0.021 Li0.792 Mg1 Si0.021,,0.145,,,0.01,,,,,,,0.369,0.466,,,,,,,,,0.01,,,,,,,,
Al0.333 Ca0.011 Li0.844 Mg1 Si0.033,,0.15,,,0.005,,,,,,,0.38,0.45,,,,,,,,,0.015,,,,,,,,
Al0.333 Ca0.011 Li0.867 Mg1 Si0.011,,0.15,,,0.005,,,,,,,0.39,0.45,,,,,,,,,0.005,,,,,,,,
Co1 Cr1 Fe1 Ni1 Pd1,,,,,,0.2,0.2,,0.2,,,,,,,,,0.2,0.2,,,,,,,,,,,
Co1 Cr1 Fe1 Mn0.2 Ni1 Pd1,,,,,,0.192,0.192,,0.192,,,,,0.038,,,,0.192,0.192,,,,,,,,,,,
Co1 Cr1 Fe1 Mn0.4 Ni1 Pd1,,,,,,0.185,0.185,,0.185,,,,,0.074,,,,0.185,0.185,,,,,,,,,,,
Co1 Cr1 Fe1 Mn0.6 Ni1 Pd1,,,,,,0.179,0.179,,0.179,,,,,0.107,,,,0.179,0.179,,,,,,,,,,,
Co1 Cr1 Fe1 Mn0.8 Ni1 Pd1,,,,,,0.172,0.172,,0.172,,,,,0.138,,,,0.172,0.172,,,,,,,,,,,
Cr1 Fe1 Ni1 Ti0.2,,,,,,,0.312,,0.312,,,,,,,,,0.312,,,,,,,0.062,,,,,
Cr1 Fe1 Ni1 Ti0.3,,,,,,,0.303,,0.303,,,,,,,,,0.303,,,,,,,0.091,,,,,
Cr1 Fe1 Ni1 Ti0.4,,,,,,,0.294,,0.294,,,,,,,,,0.294,,,,,,,0.118,,,,,
Cr1 Fe1 Ni1 Ti0.5,,,,,,,0.286,,0.286,,,,,,,,,0.286,,,,,,,0.143,,,,,
Cr1 Fe1 Ni1 Ti0.6,,,,,,,0.278,,0.278,,,,,,,,,0.278,,,,,,,0.167,,,,,
Al1 Cr1 Cu1 Fe1 Mn1,,0.2,,,,,0.2,0.2,0.2,,,,,0.2,,,,,,,,,,,,,,,,
Al1 Cr1 Cu1 Fe1 Mn1 W0.05,,0.198,,,,,0.198,0.198,0.198,,,,,0.198,,,,,,,,,,,,,0.01,,,
Al1 Cr1 Cu1 Fe1 Mn1 W0.1,,0.196,,,,,0.196,0.196,0.196,,,,,0.196,,,,,,,,,,,,,0.02,,,
Al1 Cr1 Cu1 Fe1 Mn1 W0.5,,0.182,,,,,0.182,0.182,0.182,,,,,0.182,,,,,,,,,,,,,0.091,,,
Co1 Cu1 Fe1 Nb0.5 Ni1,,,,,,0.222,,0.222,0.222,,,,,,,0.111,,0.222,,,,,,,,,,,,
Co0.2 Cu0.2 Fe0.2 Nb1 Ni0.2,,,,,,0.111,,0.111,0.111,,,,,,,0.556,,0.111,,,,,,,,,,,,
Co0.133 Cu0.133 Fe0.133 Nb1 Ni0.133,,,,,,0.087,,0.087,0.087,,,,,,,0.653,,0.087,,,,,,,,,,,,
Co0.086 Cu0.086 Fe0.086 Nb1 Ni0.086,,,,,,0.064,,0.064,0.064,,,,,,,0.744,,0.064,,,,,,,,,,,,
Co0.067 Cu0.067 Fe0.067 Nb1 Ni0.067,,,,,,0.053,,0.053,0.053,,,,,,,0.789,,0.053,,,,,,,,,,,,
B0.006 Co0.201 Cr0.201 Fe1 Mn0.604,,,0.003,,,0.1,0.1,,0.497,,,,,0.3,,,,,,,,,,,,,,,,
B0.012 Co0.202 Cr0.202 Fe1 Mn0.607,,,0.006,,,0.1,0.1,,0.494,,,,,0.3,,,,,,,,,,,,,,,,
B0.035 Co0.207 Cr0.207 Fe1 Mn0.621,,,0.017,,,0.1,0.1,,0.483,,,,,0.3,,,,,,,,,,,,,,,,
Al0.186 Cr0.149 Fe1 Mn0.861 Ni0.28,,0.075,,,,,0.06,,0.404,,,,,0.348,,,,0.113,,,,,,,,,,,,
Hf1 Ti1 Zr1,,,,,,,,,,,0.333,,,,,,,,,,,,,,0.333,,,,,0.333
Hf1 Sc1 Ti1 Zr1,,,,,,,,,,,0.25,,,,,,,,,,0.25,,,,0.25,,,,,0.25
Hf1 Ti1 Y1 Zr1,,,,,,,,,,,0.25,,,,,,,,,,,,,,0.25,,,0.25,,0.25
Hf1 Sc1 Ti1 Y1 Zr1,,,,,,,,,,,0.2,,,,,,,,,,0.2,,,,0.2,,,0.2,,0.2
Co1 Cr1 Fe1 Ga1 Ni1,,,,,,0.2,0.2,,0.2,0.2,,,,,,,,0.2,,,,,,,,,,,,
Al0.562 Co0.938 Cr0.312 Fe0.312 Ni1,,0.18,,,,0.3,0.1,,0.1,,,,,,,,,0.32,,,,,,,,,,,,
Al0.581 Co0.968 Cr0.323 Fe0.323 Mo0.032 Ni1,,0.18,,,,0.3,0.1,,0.1,,,,,,0.01,,,0.31,,,,,,,,,,,,
Al0.6 Co1 Cr0.333 Fe0.333 Mo0.067 Ni1,,0.18,,,,0.3,0.1,,0.1,,,,,,0.02,,,0.3,,,,,,,,,,,,
Al0.6 Co1 Cr0.333 Fe0.333 Mo0.1 Ni0.967,,0.18,,,,0.3,0.1,,0.1,,,,,,0.03,,,0.29,,,,,,,,,,,,
Co1 Cr1 Fe1 Mo0.149 Ni1,,,,,,0.241,0.241,,0.241,,,,,,0.036,,,0.241,,,,,,,,,,,,
Co1 Cr1 Cu1 Fe1 Ni1 V0.042,,,,,,0.198,0.198,0.198,0.198,,,,,,,,,0.198,,,,,,,,0.008,,,,
Co1 Cr1 Cu1 Fe1 Ni1 V0.087,,,,,,0.197,0.197,0.197,0.197,,,,,,,,,0.197,,,,,,,,0.017,,,,
Co1 Cr1 Cu1 Fe1 Ni1 V0.136,,,,,,0.195,0.195,0.195,0.195,,,,,,,,,0.195,,,,,,,,0.026,,,,
Co1 Cr1 Cu1 Fe1 Ni1 V0.19,,,,,,0.193,0.193,0.193,0.193,,,,,,,,,0.193,,,,,,,,0.037,,,,
Co1 Cr1 Cu1 Ni1 Zn1,,,,,,0.2,0.2,0.2,,,,,,,,,,0.2,,,,,,,,,,,0.2,
Nb1 Ta1 Ti1 Zr1,,,,,,,,,,,,,,,,0.25,,,,,,,,0.25,0.25,,,,,0.25
Ta1 Ti1 Zr1,,,,,,,,,,,,,,,,,,,,,,,,0.333,0.333,,,,,0.333
Nb1 Ta0.667 Ti0.667 Zr0.333,,,,,,,,,,,,,,,,0.375,,,,,,,,0.25,0.25,,,,,0.125
Nb0.333 Ta0.667 Ti0.667 Zr1,,,,,,,,,,,,,,,,0.125,,,,,,,,0.25,0.25,,,,,0.375
Ag1 Al1 Nb1 Ti1 Zn1,0.2,0.2,,,,,,,,,,,,,,0.2,,,,,,,,,0.2,,,,0.2,
Al0.774 Fe1 Mn0.903 Ni0.484,,0.245,,,,,,,0.316,,,,,0.286,,,,0.153,,,,,,,,,,,,
Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.026,,0.243,,,,,,,0.314,,,,,0.283,,,,0.152,,,,,,,0.008,,,,,
Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.097,,0.238,,,,,,,0.307,,,,,0.277,,,,0.149,,,,,,,0.03,,,,,
Cr1 Cu1 Fe1 Ni1 Ti1,,,,,,,0.2,0.2,0.2,,,,,,,,,0.2,,,,,,,0.2,,,,,
Al0.5 Cr1 Cu1 Fe1 Ni1,,0.111,,,,,0.222,0.222,0.222,,,,,,,,,0.222,,,,,,,,,,,,
Hf1 Mo1 Nb1 Ta1 Zr1,,,,,,,,,,,0.2,,,,0.2,0.2,,,,,,,,0.2,,,,,,0.2
Hf1 Mo1 Nb1 Ta1 Ti1,,,,,,,,,,,0.2,,,,0.2,0.2,,,,,,,,0.2,0.2,,,,,
C0.111 Co1 Cr1 Fe1 Ni1 W0.111,,,,0.026,,0.237,0.237,,0.237,,,,,,,,,0.237,,,,,,,,,0.026,,,
C0.429 Co1 Cr1 Fe1 Ni1 W0.429,,,,0.088,,0.206,0.206,,0.206,,,,,,,,,0.206,,,,,,,,,0.088,,,
Al0.267 Co1 Cr0.667 Fe0.667 Ni0.667 Ti0.2,,0.077,,,,0.288,0.192,,0.192,,,,,,,,,0.192,,,,,,,0.058,,,,,
Al1 Nb1 Ti1 Zr1,,0.25,,,,,,,,,,,,,,0.25,,,,,,,,,0.25,,,,,0.25
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.25,,0.211,,,,,0.211,,0.211,,,,,,0.105,,,0.211,,,,,,,0.053,,,,,
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.4,,0.204,,,,,0.204,,0.204,,,,,,0.102,,,0.204,,,,,,,0.082,,,,,
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.5,,0.2,,,,,0.2,,0.2,,,,,,0.1,,,0.2,,,,,,,0.1,,,,,
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.6,,0.196,,,,,0.196,,0.196,,,,,,0.098,,,0.196,,,,,,,0.118,,,,,
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.75,,0.19,,,,,0.19,,0.19,,,,,,0.095,,,0.19,,,,,,,0.143,,,,,
Al1 Cr1 Mo1 Nb1,,0.25,,,,,0.25,,,,,,,,0.25,0.25,,,,,,,,,,,,,,
Al1 Hf1 Nb1 Ti1,,0.25,,,,,,,,,0.25,,,,,0.25,,,,,,,,,0.25,,,,,
Al1 Hf1 Ta1 Ti1,,0.25,,,,,,,,,0.25,,,,,,,,,,,,,0.25,0.25,,,,,
Cr1 Nb1 Ta1 Ti1,,,,,,,0.25,,,,,,,,,0.25,,,,,,,,0.25,0.25,,,,,
Cr1 Nb1 Ti1 W1,,,,,,,0.25,,,,,,,,,0.25,,,,,,,,,0.25,,0.25,,,
